conglome,vivienda,hogar,district,male,age,ccdd,ccpp,ccdi,hid,hhmem,lhhmem,kids,k_hhmem,infants,children,adults,ces,depprov,hconsump,hconsumplm,hhequiv,lhhequiv,lhhconsplm,CAST,QUE,AYM,near_x,near_y,cusco,pothuan_mita,border,d_bnd,bfe4_1,bfe4_2,bfe4_3,elv_sh,slope,near_dist,dpot,lat,lon,dbnd_sh,dbnd_sh2,dbnd_sh3,dbnd_sh4,x,y
 174, 36,11,30101,male,34,3,1,1, 174 3611,4,1.386294,2,.5,1,1,2,2.9,301,12674,13357.9,4606.172,8.435152,9.499864,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 176, 53,11,30101,female,60,3,1,1, 176 5311,3,1.098612,1,.3333333,1,0,2,2.4,301,1401,1476.599,615.2496,6.422028,7.297497,0,1,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 168,130,11,30101,male,45,3,1,1, 16813011,6,1.791759,0,0,0,0,6,6,301,5167,5445.815,907.6359,6.810843,8.602603,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 174, 14,11,30101,male,35,3,1,1, 174 1411,4,1.386294,2,.5,1,1,2,2.9,301,5127,5403.657,1863.33,7.53012,8.594831,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 173, 68,11,30101,female,46,3,1,1, 173 6811,3,1.098612,0,0,0,0,3,3,301,2737,2884.691,961.5635,6.868561,7.967173,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 172, 28,11,30101,male,39,3,1,1, 172 2811,4,1.386294,2,.5,0,2,2,3,301,3368,3549.74,1183.247,7.076017,8.174629,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 173, 32,11,30101,male,54,3,1,1, 173 3211,5,1.609438,0,0,0,0,5,5,301,4059,4278.027,855.6053,6.751809,8.361247,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 169, 45,11,30101,male,49,3,1,1, 169 4511,7,1.94591,3,.4285714,0,3,4,5.5,301,5533,5831.565,1060.285,6.966293,8.671041,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 175, 27,11,30101,male,38,3,1,1, 175 2711,4,1.386294,2,.5,0,2,2,3,301,818,862.14,287.38,5.660805,6.759418,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 173, 57,11,30101,female,69,3,1,1, 173 5711,1,0,0,0,0,0,1,1,301,826,870.5717,870.5717,6.76915,6.76915,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 168, 14,11,30101,male,50,3,1,1, 168 1411,13,2.564949,6,.4615385,2,4,7,9.8,301,5581,5882.155,600.2199,6.397296,8.679679,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 176, 22,11,30101,male,71,3,1,1, 176 2211,6,1.791759,2,.3333333,1,1,4,4.9,301,2221,2340.847,477.7238,6.169033,7.758268,0,1,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 172, 48,11,30101,male,55,3,1,1, 172 4811,4,1.386294,0,0,0,0,4,4,301,2095,2208.048,552.012,6.31357,7.699864,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 168, 88,11,30101,female,70,3,1,1, 168 8811,3,1.098612,2,.6666667,0,2,1,2,301,1848,1947.72,973.8598,6.881268,7.574415,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 173, 45,11,30101,male,20,3,1,1, 173 4511,2,.6931472,0,0,0,0,2,2,301,1104,1163.573,581.7864,6.366103,7.05925,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 170, 43,11,30101,male,31,3,1,1, 170 4311,5,1.609438,3,.6,1,2,2,3.4,301,2673,2817.237,828.5992,6.719737,7.943512,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 173,  2,11,30101,male,31,3,1,1, 173  211,4,1.386294,2,.5,0,2,2,3,301,2628,2769.809,923.2697,6.827921,7.926534,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 173, 14,11,30101,female,44,3,1,1, 173 1411,4,1.386294,1,.25,0,1,3,3.5,301,3385,3567.657,1019.331,6.926901,8.179665,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 167, 96,11,30101,male,31,3,1,1, 167 9611,3,1.098612,1,.3333333,0,1,2,2.5,301,3124,3292.573,1317.029,7.183134,8.099424,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 168, 51,11,30101,male,52,3,1,1, 168 5111,4,1.386294,0,0,0,0,4,4,301,2170,2287.095,571.7737,6.348743,7.735038,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 175, 68,11,30101,male,58,3,1,1, 175 6811,3,1.098612,0,0,0,0,3,3,301,2172,2289.203,763.0676,6.637347,7.735959,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 174, 47,11,30101,male,45,3,1,1, 174 4711,3,1.098612,1,.3333333,0,1,2,2.5,301,2306,2430.434,972.1735,6.879534,7.795825,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 175, 56,11,30101,male,38,3,1,1, 175 5611,7,1.94591,5,.7142857,2,3,2,4.3,301,2695,2840.424,660.5638,6.493093,7.951709,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 175, 42,11,30101,male,52,3,1,1, 175 4211,5,1.609438,2,.4,1,1,3,3.9,301,1177,1240.512,318.08,5.762303,7.12328,0,1,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 175,  4,11,30101,male,16,3,1,1, 175  411,3,1.098612,2,.6666667,0,2,1,2,301,118,124.3674,62.18369,4.130093,4.82324,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 174, 59,11,30101,male,57,3,1,1, 174 5911,6,1.791759,1,.1666667,0,1,5,5.5,301,5357,5646.068,1026.558,6.933967,8.638715,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 175, 17,11,30101,male,70,3,1,1, 175 1711,2,.6931472,0,0,0,0,2,2,301,630,663.9953,331.9977,5.805128,6.498275,0,1,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
 172, 20,11,30101,male,49,3,1,1, 172 2011,8,2.079442,6,.75,2,4,2,4.8,301,7709,8124.984,1692.705,7.434083,9.002699,castellano,0,0,726782.4,8486169,0,0,1,6.092747,0,0,1,3.31417,13.9305,1017482,10.17482,13.63389,72.88139,.0609275,.0037122,.0002262,.0000138,.5448303,-.768116
