education,birth_year,birth_region,log_wage,num_schools,high_intensity,children71
5,71,1101,12.04355,2.729536,1,66678
6,59,1101,11.91839,2.729536,1,66678
11,54,1101,12.76283,2.729536,1,66678
17,54,1101,12.76283,2.729536,1,66678
9,68,1101,12.76569,2.729536,1,66678
8,56,1101,12.96454,2.729536,1,66678
9,72,1101,11.91839,2.729536,1,66678
6,62,1101,10.81978,2.729536,1,66678
6,56,1101,11.0021,2.729536,1,66678
14,62,1101,12.63786,2.729536,1,66678
9,56,1101,12.20607,2.729536,1,66678
9,70,1101,11.48247,2.729536,1,66678
12,71,1101,11.0021,2.729536,1,66678
12,62,1101,11.15625,2.729536,1,66678
5,71,1101,12.20607,2.729536,1,66678
14,61,1101,12.44902,2.729536,1,66678
9,72,1101,11.91839,2.729536,1,66678
6,71,1101,11.51293,2.729536,1,66678
6,60,1101,11.98293,2.729536,1,66678
6,62,1101,11.91839,2.729536,1,66678
9,60,1101,12.20607,2.729536,1,66678
6,60,1101,12.42922,2.729536,1,66678
6,70,1101,12.7994,2.729536,1,66678
12,60,1101,12.63786,2.729536,1,66678
12,72,1101,11.91839,2.729536,1,66678
12,56,1101,12.76569,2.729536,1,66678
3,59,1101,12.62807,2.729536,1,66678
0,62,1101,12.61154,2.729536,1,66678
17,62,1101,13.30468,2.729536,1,66678
12,71,1101,11.91839,2.729536,1,66678
15,59,1101,12.27046,2.729536,1,66678
12,69,1101,11.62982,2.729536,1,66678
3,60,1101,11.91839,2.729536,1,66678
4,53,1101,11.8494,2.729536,1,66678
6,57,1101,11.56172,2.729536,1,66678
6,61,1101,12.61154,2.729536,1,66678
12,55,1101,12.74257,2.729536,1,66678
6,71,1101,11.91839,2.729536,1,66678
12,52,1101,12.66033,2.729536,1,66678
17,58,1101,12.52088,2.729536,1,66678
12,71,1101,12.20607,2.729536,1,66678
9,56,1101,12.42922,2.729536,1,66678
9,57,1101,12.42922,2.729536,1,66678
12,71,1101,10.59663,2.729536,1,66678
12,60,1101,12.28857,2.729536,1,66678
9,62,1101,12.10071,2.729536,1,66678
12,62,1101,12.54255,2.729536,1,66678
12,62,1101,13.44878,2.729536,1,66678
5,69,1101,11.77529,2.729536,1,66678
13,57,1101,12.47762,2.729536,1,66678
6,72,1101,11.91839,2.729536,1,66678
17,68,1101,12.69158,2.729536,1,66678
12,60,1101,12.27839,2.729536,1,66678
