hid,save3,year,region,inc,save1,save2,m12,m18,m65,m18elem,m18sec,m18pos,f12,f18,f65,f18elem,f18sec,f18pos,of1,of2,of3,of4,of5,p0to5,p6to11,p12to17,p18to64,p65,of0,month,cpi,dev1,dev2,dev3,dev4,sd1,sd2,sd3,sd4,dvsq1,dvsq2,dvsq3,dvsq4
1.21e+08,-2998.381,76,19,3263.36,-576.7289,-396.6961,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,0,12,.65025,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
2.21e+08,251.1416,76,32,1890.519,31.33758,288.9055,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,2,1,1,0,5,.6363333,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.11e+08,677.0671,76,26,863.9617,-623.0619,58.78345,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,.6285,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
3.21e+08,757.6687,76,28,7453.715,2339.596,2691.202,0,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,0,7,.6400833,-9.182353,67.60588,-43.02353,71.05589,42.40917,127.8315,122.4276,146.2666,84.31561,4570.555,1851.024,5048.938
2.11e+08,-44.97751,76,26,1110.342,231.6656,236.2792,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,12,.65025,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
1.21e+08,5522.621,76,19,5374.699,1000.436,1696.792,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,.6285,83.51471,74.34706,53.27576,184.9441,33.94309,115.7548,130.024,103.8061,6974.706,5527.485,2838.306,34204.33
3.20e+08,-1421.45,76,29,2481.215,-446.6961,566.4816,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,11,.6476667,7.232353,-150.2118,-10.8,4.17353,65.06959,109.085,121.0867,126.422,52.30693,22563.57,116.64,17.41835
2.11e+08,224.8876,76,14,1158.016,84.3984,309.286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,12,.65025,-24.75294,-10.15588,256.7853,-46.17647,54.2164,169.5218,194.8623,58.83184,612.7081,103.1419,65938.69,2132.266
2.11e+08,662.5767,76,26,1474.808,-59.07713,193.9903,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,7,.6400833,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.22e+08,-594.3838,76,26,809.6885,-404.5943,-62.94065,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,.6261666,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
1.20e+08,-286.3777,76,17,1442.528,-240.8345,46.24315,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,.6329167,62.59,-57.90645,-5.573333,212.3323,32.63063,98.90257,108.5992,149.7514,3917.508,3353.157,31.06204,45084.99
2.21e+08,-106.3174,76,26,943.0808,-285.5801,-280.9062,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,6,.6383333,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.21e+08,22.48876,76,26,1914.648,-140.1041,-91.47157,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,1,2,2,3,1,0,0,12,.65025,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
3.20e+08,325.723,76,29,5996.855,877.6468,1519.895,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,.6363333,5.17353,-150.2118,-10.8,94.96764,65.07536,109.085,121.0867,125.3696,26.76541,22563.57,116.64,9018.854
2.12e+08,296.4119,76,26,2152.781,391.471,687.8829,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,.6261666,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.10e+08,-218.7981,76,13,1192.167,-255.1119,-79.30256,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,6,.6383333,18.92647,111.8382,62.25588,-37.1,39.08084,149.5166,211.2459,63.57383,358.2113,12507.79,3875.795,1376.41
